Category,Attribute,North Beach,Russian Hill,Financial District,Chinatown,Nob Hill,Tenderloin,Marina,Pacific Heights,Presidio Heights,Western Addition,Japantown,Lone Mountain/USF,Hayes Valley,Haight Ashbury,Castro/Upper Market,South of Market,Mission,Treasure Island,Twin Peaks,Noe Valley,Glen Park,Potrero Hill,Bayview Hunters Point,Bernal Heights,Outer Mission,Excelsior,Portola,Visitacion Valley,Inner Sunset,West of Twin Peaks,Oceanview/Merced/Ingleside,Sunset/Parkside,Lakeshore,Inner Richmond,Outer Richmond,Seacliff,Presidio,Mission Bay,Lincoln Park,Golden Gate Park,McLaren Park
Income,Percent in Poverty,0.121309263,0.062076189,0.09291309,0.237847222,0.12791381,0.242970859,0.043626152,0.059855608,0.073610321,0.160096111,0.106073567,0.093192378,0.085441086,0.062857738,0.056792873,0.222744835,0.113708985,0.492866848,0.056831066,0.04411199,0.068546989,0.108821976,0.177947916,0.058776585,0.06706534,0.087918813,0.083906212,0.145151166,0.078843079,0.037976981,0.095831966,0.071673434,0.277961615,0.085831366,0.093219599,0.025129637,0.035935269,0.08734472,0,0,0.441814596
Journey to Work,Other,0.0273071,0.075574941,0.019723159,0.022094431,0.057417629,0.036974352,0.081436994,0.079061629,0.025550942,0.055725131,0.077345309,0.069384476,0.049410949,0.068335979,0.040454633,0.038683766,0.045742836,0.004771643,0.057252772,0.040548971,0.022903971,0.069580638,0.031617932,0.036884693,0.012671745,0.011535306,0.018011613,0.018918341,0.031185148,0.016001957,0.019136808,0.024418683,0.022181628,0.022469475,0.025620374,0.036679537,0.078731742,0.069808232,0,0,0
Journey to Work,Workers 16 Years and Older,7141,12610,13943,6608,17573,15362,18149,15431,6262,12777,2004,9959,14430,13858,15573,14192,38629,1467,4419,14427,4759,9586,18091,14830,14047,20719,8439,9356,17829,20435,14736,44597,7664,13841,26073,1036,2807,8552,65,59,120
Journey to Work,Car,0.227139056,0.246708961,0.200172129,0.153299031,0.176065555,0.130581955,0.399250647,0.337372821,0.445704248,0.240823354,0.274451098,0.324128929,0.237214137,0.255015154,0.274513581,0.144165727,0.250252401,0.350374915,0.598551709,0.393983503,0.465013658,0.384936366,0.593775911,0.477275792,0.567665694,0.583281046,0.611328356,0.599187687,0.433843738,0.562857842,0.574239957,0.545440276,0.453679541,0.429593237,0.477160281,0.621621622,0.435696473,0.238540692,0.8,0.322033898,0.558333333
Journey to Work,Drove Alone,0.206833777,0.196510706,0.18410672,0.124243341,0.139076993,0.118864731,0.320458427,0.29298166,0.323698499,0.191594271,0.239021956,0.277437494,0.194455994,0.226439602,0.239067617,0.130284667,0.203577623,0.299931834,0.515501245,0.342898732,0.428031099,0.314938452,0.472997623,0.384086312,0.473766641,0.464259858,0.493897381,0.475630611,0.351954681,0.461658919,0.467290988,0.441845864,0.35960334,0.365941767,0.385379511,0.552123552,0.335589597,0.202759588,0.707692308,0.322033898,0.516666667
Journey to Work,Carpooled,0.020305279,0.050198255,0.016065409,0.02905569,0.036988562,0.011717224,0.07879222,0.044391161,0.122005749,0.049229084,0.035429142,0.046691435,0.042758143,0.028575552,0.035445964,0.01388106,0.046674778,0.050443081,0.083050464,0.051084772,0.036982559,0.069997914,0.120778288,0.093189481,0.093899053,0.119021188,0.117430975,0.123557076,0.081889057,0.101198923,0.106948969,0.103594412,0.0940762,0.06365147,0.091780769,0.069498069,0.100106876,0.035781104,0.092307692,0,0.041666667
Journey to Work,Transit,0.235821314,0.346074544,0.223624758,0.334291768,0.275308712,0.400338498,0.336106673,0.342881213,0.346694347,0.452062299,0.385229541,0.384677176,0.409286209,0.437364699,0.480896423,0.289811161,0.435683036,0.500340832,0.253903598,0.370763152,0.349653289,0.263300647,0.299707037,0.271274444,0.365700861,0.345383464,0.323498045,0.335827277,0.359190084,0.29493516,0.331568947,0.318093145,0.355688935,0.357055126,0.357266137,0.105212355,0.258995369,0.35652479,0.2,0.593220339,0.35
Journey to Work,Bike,0.04523176,0.036478985,0.023882952,0.010139225,0.025095317,0.045046218,0.028872114,0.01937658,0.021398914,0.053611959,0.02245509,0.063761422,0.095911296,0.073675855,0.04854556,0.041925028,0.100623884,0.023176551,0.016972166,0.039578568,0.029838201,0.096286251,0.014371787,0.068577208,0.011176764,0.011197452,0.007346842,0.001282599,0.0391497,0.012527526,0.008143322,0.025831334,0.002609603,0.058883029,0.03175699,0.054054054,0.076950481,0.039873714,0,0,0
Journey to Work,Walk,0.393082201,0.218556701,0.440220899,0.440526634,0.407443237,0.362192423,0.07576175,0.131294148,0.049984031,0.143460906,0.147205589,0.102821568,0.127650728,0.069634868,0.069543441,0.398463923,0.10647441,0.086571234,0.023761032,0.028904138,0.019331792,0.097642395,0.030457133,0.047066757,0.007118958,0.017761475,0.01303472,0.011436511,0.076672836,0.033912405,0.02259772,0.028522098,0.138308977,0.062784481,0.036282745,0.045366795,0.058781617,0.240294668,0,0.084745763,0.091666667
Journey to Work,Worked at Home,0.071418569,0.076605868,0.092376103,0.03964891,0.05866955,0.024866554,0.078571822,0.090013609,0.110667518,0.05431635,0.093313373,0.055226428,0.080526681,0.095973445,0.086046362,0.086950395,0.061223433,0.034764826,0.049558724,0.126221668,0.113259088,0.088253703,0.030070201,0.098921106,0.035665979,0.030841257,0.026780424,0.033347584,0.059958495,0.079765109,0.044313246,0.057694464,0.027531315,0.069214652,0.071913474,0.137065637,0.090844318,0.054957905,0,0,0
Language Spoken at Home,English Only,0.553714729,0.714156745,0.580435632,0.207914392,0.658484649,0.493287077,0.845397455,0.777497609,0.812449228,0.593774319,0.629268293,0.72377025,0.772454135,0.845839909,0.805363242,0.519027754,0.5734966,0.643241426,0.713815789,0.743925149,0.727215509,0.73090424,0.433598343,0.626618399,0.266628109,0.317495222,0.34858906,0.307789636,0.644337263,0.65907111,0.380667758,0.474262,0.521493913,0.624411194,0.557356351,0.810191083,0.832789355,0.509282971,0.701342282,0.920634921,0.318181818
Language Spoken at Home,Spanish Only,0.064026232,0.042035773,0.047226021,0.017380063,0.05683534,0.177554206,0.031399769,0.043039736,0.036860276,0.058823529,0.057962697,0.05089838,0.075990428,0.029765468,0.046893751,0.114549634,0.292540564,0.155682582,0.103157895,0.082118363,0.086606244,0.103271553,0.193830133,0.209028961,0.239196893,0.254797246,0.158063894,0.173671471,0.046445159,0.064439726,0.103818479,0.032286722,0.159777151,0.048397525,0.037395836,0.033970276,0.069545569,0.096350832,0.036912752,0,0.157024793
Language Spoken at Home,Asian/Pacific Islander,0.305548365,0.186932235,0.199746044,0.7573973,0.219636842,0.219219428,0.052759874,0.109207895,0.075142161,0.213321126,0.27804878,0.143976436,0.07636267,0.0408663,0.063232715,0.291503491,0.080681149,0.100874243,0.118947368,0.060725803,0.081570997,0.104535243,0.354039527,0.110306644,0.469429067,0.400612581,0.471041975,0.506546375,0.222686674,0.200860285,0.494346518,0.425210041,0.162872275,0.270758289,0.305479672,0.104883227,0.040170726,0.296975032,0.228187919,0.079365079,0.524793388
Language Spoken at Home,Other European Languages,0.075588921,0.052304915,0.14695253,0.016518242,0.054396221,0.081006071,0.065113204,0.060777324,0.069861901,0.099015793,0.03472023,0.077290133,0.054666312,0.074549709,0.067155912,0.066150179,0.045981115,0.071284465,0.058026316,0.10791661,0.079556898,0.057989329,0.015760596,0.050042589,0.019581922,0.023194324,0.021340875,0.010507207,0.081957842,0.063105739,0.012487151,0.054724979,0.146777633,0.051353099,0.092422121,0.048832272,0.056490083,0.088348271,0.033557047,0,0
Language Spoken at Home,Other Languages,0.001121753,0.004570332,0.025639773,0.000790003,0.010646947,0.028933218,0.005329698,0.009477437,0.005686434,0.035065232,0,0.004064801,0.020526456,0.008978615,0.01735438,0.008768943,0.007300573,0.028917283,0.006052632,0.005314075,0.025050352,0.003299635,0.002771401,0.004003407,0.005164009,0.003900626,0.000964196,0.001485312,0.004573062,0.012523141,0.008680093,0.013516258,0.009079029,0.005079893,0.007346021,0.002123142,0.001004268,0.009042894,0,0,0
Linguistic Isolation,% of All Households,0.156010009,0.093889296,0.05684704,0.588839414,0.11134771,0.193616652,0.017930921,0.017650639,0.041734362,0.118928817,0.21061693,0.050191458,0.035416113,0.004516515,0.005400166,0.153328793,0.097906217,0.048083389,0.043684211,0.016033065,0.024169184,0.029064869,0.139801803,0.060945486,0.160373461,0.136469541,0.146943498,0.14424029,0.051196856,0.043068714,0.149046332,0.10783816,0.087144921,0.065946245,0.109662313,0.02462845,0.010293748,0.130361716,0.020134228,0,0.464876033
Linguistic Isolation,% of Spanish-Speaking Households,0.003278971,0.006093776,0.005616331,0.005601839,0.010763096,0.050442324,0.000950256,0.002260673,0,0.017486839,0.011190818,0,0.010050518,0,0.000923105,0.032606845,0.070917302,0.027236046,0.019868421,0.007040015,0.008559919,0.004142095,0.033368792,0.04241908,0.032719161,0.037383178,0.01517002,0.027505776,0.002072169,0.003076337,0.01439068,0.001649872,0.030125868,0.0021705,0.001561029,0,0,0.011523688,0,0,0.138429752
Linguistic Isolation,% of Asian-Speaking Households,0.140219173,0.079049822,0.042684118,0.579000287,0.09284138,0.111569818,0.011320443,0.010259977,0.028533712,0.068894484,0.18938307,0.039116348,0.020154214,0.000544158,0.002353919,0.106972586,0.022312265,0.010759919,0.017236842,0.008175501,0.009944612,0.020008425,0.104249482,0.016013629,0.123605718,0.096259064,0.12618114,0.113653867,0.041050375,0.033240771,0.134008452,0.094639186,0.036247335,0.061143438,0.079887973,0.021656051,0,0.085067222,0.020134228,0,0.326446281
Linguistic Isolation,% of Other European-Speaking Households,0.010613513,0.0061502,0.007765189,0.003519104,0.006001007,0.024076323,0.005660221,0.003999652,0.01320065,0.02636759,0.010043042,0.01107511,0.004147833,0.003972357,0.002123142,0.012089222,0.003980508,0.010087424,0.003815789,0.00081755,0.003147029,0.002737995,0.00134371,0.001575809,0.000867553,0.001335113,0.003921064,0.000990208,0.008074312,0.006751606,0,0.00797015,0.020771717,0.000600351,0.027111407,0.002972399,0.010293748,0.030809859,0,0,0
Linguistic Isolation,% of Households Speaking Other Languages,0,0,0.000781403,0,0.001742228,0.00641804,0,0,0,0.004348821,0,0,0.001063547,0,0,0.000510812,0.000481945,0,0,0,0.002517623,0,0,0,0.000578369,0,0,0,0,0,0,0.001700637,0,0.000738894,0,0,0,0.002960948,0,0,0
Nativity,Foreign Born,0.376666104,0.235183858,0.404281005,0.731403241,0.314501796,0.420322785,0.154009852,0.197331027,0.18743505,0.36086168,0.34272036,0.204672739,0.19090863,0.152010376,0.189538708,0.435364536,0.316470989,0.25099734,0.223376957,0.241039005,0.208184025,0.214101972,0.412928238,0.281638654,0.55854165,0.511422052,0.486498071,0.489963787,0.283049528,0.268791061,0.463058482,0.410875402,0.344638876,0.298289917,0.341085778,0.171918628,0.110033128,0.407048858,0.403846154,0.079365079,0.506903353
Population,Total Population,11854,18139,21537,14438,26445,29927,25375,24279,10585,22607,3551,17677,19711,19275,22502,24058,58770,3008,7794,23407,8651,15161,37917,25167,25042,39879,16331,19330,29539,38662,27530,82682,14801,22572,45921,2507,4226,13222,312,63,507
Population,Group Quarter Population,17,5,563,53,977,1523,97,518,196,269,53,3186,502,311,72,1435,1575,1210,740,102,37,15,222,201,203,527,196,95,894,214,302,452,2723,147,202,0,0,342,191,0,0
Population,Percent Female,0.486080648,0.503500744,0.46561731,0.516207231,0.490640953,0.429912788,0.515152709,0.518225627,0.514218233,0.480470651,0.539566319,0.544719127,0.433108417,0.478236057,0.382499333,0.407307341,0.453020248,0.429853723,0.382473698,0.479771009,0.490925905,0.477804894,0.5199251,0.483251877,0.503234566,0.498758745,0.49990815,0.50305225,0.510714648,0.504940251,0.497239375,0.507921918,0.538950071,0.547891193,0.512336404,0.483845233,0.539990535,0.519286038,0.227564103,0.396825397,0.585798817
Race/Ethnicity,Asian,0.376919183,0.272451624,0.409620653,0.834395346,0.330875402,0.291375681,0.105852217,0.188887516,0.189041096,0.273101252,0.327513377,0.228998133,0.155446198,0.108274968,0.145320416,0.392385069,0.14954909,0.106382979,0.199640749,0.142307857,0.169113397,0.211199789,0.390669093,0.177653276,0.55155339,0.49993731,0.549139673,0.538644594,0.349233217,0.337721794,0.57980385,0.536791563,0.277481251,0.374800638,0.441519131,0.184284005,0.084003786,0.448570564,0.336538462,0.079365079,0.50887574
Race/Ethnicity,Black/African American,0.02606715,0.014333756,0.028648373,0.001315972,0.037133674,0.097537341,0.007763547,0.031632275,0.010581011,0.172512938,0.016333427,0.052667308,0.068489676,0.045966278,0.033774776,0.089408928,0.039135613,0.227726064,0.034385425,0.020378519,0.070974454,0.056592573,0.262468022,0.041403425,0.015254373,0.022041676,0.047210826,0.116088981,0.024746945,0.024546066,0.106356702,0.015940592,0.069319641,0.018784335,0.019816642,0,0.021060104,0.024655877,0.16025641,0,0.224852071
Race/Ethnicity,White,0.512400877,0.673300623,0.481496959,0.1210694,0.543959161,0.405854245,0.836453202,0.707277894,0.712801134,0.427920556,0.528865108,0.582734627,0.652173913,0.769857328,0.731846058,0.363247153,0.530474732,0.40625,0.650628689,0.732174136,0.643971795,0.558010685,0.119207743,0.569436166,0.229174986,0.236515459,0.198456922,0.122090016,0.52923254,0.541513631,0.184707592,0.348310394,0.425173975,0.527511962,0.445765554,0.718388512,0.737103644,0.445620935,0.467948718,0.920634921,0.055226824
Race/Ethnicity,Native American Indian,0.376919183,0.272451624,0.409620653,0.834395346,0.330875402,0.291375681,0.105852217,0.188887516,0.189041096,0.273101252,0.327513377,0.228998133,0.155446198,0.108274968,0.145320416,0.392385069,0.14954909,0.106382979,0.199640749,0.142307857,0.169113397,0.211199789,0.390669093,0.177653276,0.55155339,0.49993731,0.549139673,0.538644594,0.349233217,0.337721794,0.57980385,0.536791563,0.277481251,0.374800638,0.441519131,0.184284005,0.084003786,0.448570564,0.336538462,0.079365079,0.50887574
Race/Ethnicity,Native Hawaiian/Pacific Islander,0.001855914,0.000937207,0.001903701,0.002424158,0.000983173,0.004277074,0.000985222,0.000906133,0.002267359,0.001282789,0.007603492,0.000565707,0.001116128,0,0.002977513,0.005694571,0.001854688,0.033244681,0.003592507,0.001238946,0,0,0.020966849,0.000596019,0.003114767,0.000451365,0.002755496,0.026073461,0.001286435,0.00204335,0.00145296,0.006385912,0.001824201,0,0.001938111,0,0,0,0,0,0.067061144
Race/Ethnicity,Other/Two or More Races,0.082081998,0.037322895,0.078330315,0.032691509,0.08319153,0.18635346,0.046975369,0.069566292,0.085214927,0.113637369,0.117431709,0.13378967,0.120338897,0.075797665,0.084436939,0.141740793,0.270393058,0.218085106,0.11175263,0.101764429,0.112934921,0.171888398,0.205211383,0.202248977,0.200143758,0.236339928,0.195272794,0.19560269,0.094011307,0.092700843,0.124736651,0.090975061,0.220120262,0.077618288,0.090459703,0.097327483,0.144817795,0.073740735,0.03525641,0,0.143984221
Race/Ethnicity,% Latino (of Any Race),0.08149148,0.058051712,0.070994103,0.030475135,0.106825487,0.241153473,0.07129064,0.080975328,0.061691072,0.09298005,0.092649958,0.117157889,0.134138298,0.07538262,0.080303973,0.16780281,0.356678578,0.260305851,0.138824737,0.115435553,0.120448503,0.146692171,0.234433104,0.262764732,0.285879722,0.319616841,0.241932521,0.241076048,0.087003622,0.103615954,0.149291682,0.074828862,0.231065469,0.081206805,0.065416694,0.041483845,0.139138665,0.126002118,0.03525641,0,0.199211045
Structure Type,Single Family Housing,0.067663043,0.060026918,0.038038592,0.020844258,0.029903758,0.012851806,0.116326255,0.130093407,0.263650248,0.0668598,0.090729783,0.134347826,0.087773705,0.172143802,0.202523507,0.037343825,0.146071279,0.229651163,0.364190981,0.405052415,0.643784787,0.236798906,0.617352964,0.576794573,0.817275748,0.829019608,0.801325834,0.70440844,0.421268052,0.868071028,0.831703489,0.730312036,0.135012308,0.232482787,0.351700345,0.769607843,0.25748503,0,0.46835443,0,0.203187251
Structure Type,2-4 Units,0.284782609,0.324629879,0.005671208,0.110907184,0.090570577,0.01758406,0.300689842,0.156694193,0.312523864,0.107799039,0.114792899,0.44115942,0.27196692,0.413983238,0.424174235,0.0717885,0.325184308,0.431686047,0.124933687,0.368705963,0.234031275,0.335294118,0.151090465,0.33319834,0.128123646,0.090893246,0.114302933,0.139977393,0.303266662,0.066437108,0.106362429,0.17020127,0.090702518,0.472053463,0.400689995,0.155882353,0.525449102,0.011043622,0.392405063,0.3125,0.111553785
Structure Type,5-9 Units,0.220108696,0.194078062,0.009060101,0.122836917,0.117896425,0.025902864,0.132152036,0.167388656,0.130966018,0.104368377,0.043786982,0.183333333,0.180998027,0.20114689,0.163947601,0.052046663,0.17697391,0.284883721,0.129442971,0.116858567,0.028359396,0.07004104,0.069285883,0.037157031,0.01025567,0.037559913,0.027119325,0.089299171,0.116225191,0.016204173,0.006640106,0.053626908,0.05907972,0.146213042,0.116116313,0.047058824,0.051646707,0,0.050632911,0.125,0.187250996
Structure Type,10-19 Units,0.074728261,0.187169134,0.017428591,0.168589407,0.222502291,0.072478207,0.293520898,0.20014891,0.180985109,0.12350385,0.057199211,0.128550725,0.154120853,0.147772386,0.077071446,0.076896528,0.103021506,0.043604651,0.256233422,0.02981612,0.012456931,0.096990424,0.025194867,0.012554419,0.028600318,0.027102397,0.025914022,0.034664657,0.081936829,0.019309972,0.00458771,0.025665271,0.085779208,0.124746861,0.082750123,0.02745098,0.006736527,0.015875207,0,0.104166667,0.055776892
Structure Type,20 Units or More,0.348097826,0.234096007,0.929801508,0.566334557,0.539126948,0.869339975,0.156364128,0.343982672,0.111874761,0.595181825,0.693491124,0.112608696,0.303260972,0.057123952,0.129952584,0.761924484,0.244929142,0.010174419,0.121485411,0.077504726,0.081367612,0.258549932,0.135422408,0.038675711,0.015744619,0.013159041,0.021896344,0.026186888,0.074059773,0.028087232,0.049619703,0.020025665,0.628100738,0.024503848,0.048743223,0,0.148952096,0.973081171,0.088607595,0.458333333,0.442231076
Structure Type,Other,0.0273071,0.075574941,0.019723159,0.022094431,0.057417629,0.036974352,0.081436994,0.079061629,0.025550942,0.055725131,0.077345309,0.069384476,0.049410949,0.068335979,0.040454633,0.038683766,0.045742836,0.004771643,0.057252772,0.040548971,0.022903971,0.069580638,0.031617932,0.036884693,0.012671745,0.011535306,0.018011613,0.018918341,0.031185148,0.016001957,0.019136808,0.024418683,0.022181628,0.022469475,0.025620374,0.036679537,0.078731742,0.069808232,0,0,0
Unit Size,No Bedroom,0.225543478,0.111081202,0.232242894,0.532773991,0.341372594,0.655292653,0.163803598,0.170096115,0.047346315,0.19585271,0.246548323,0.087681159,0.186824547,0.087340097,0.090653379,0.392627873,0.185568586,0.00872093,0.0933687,0.041587902,0.026504108,0.101504788,0.030155106,0.048192771,0.030044778,0.021002179,0.030132583,0.024302939,0.06904008,0.010802782,0.033924906,0.022322032,0.106987313,0.060247064,0.067668802,0,0.017215569,0.109331861,0,0,0.019920319
Unit Size,1 Bedroom,0.374320652,0.376312248,0.294211218,0.206476141,0.394191109,0.253449564,0.368321385,0.387369704,0.303550974,0.362659145,0.489546351,0.288985507,0.326942956,0.298632554,0.335851483,0.348795472,0.259024409,0.024709302,0.300795756,0.241622272,0.162205142,0.211080711,0.124084718,0.167257264,0.090134335,0.090457516,0.093210125,0.093632253,0.247046104,0.057389778,0.072920439,0.110698366,0.329672411,0.225698663,0.226170527,0.045098039,0.080838323,0.446300387,0.215189873,0.5625,0.498007968
Unit Size,2 Bedrooms,0.273505435,0.339793629,0.38820112,0.168851599,0.180281852,0.057235367,0.26335723,0.234195208,0.286941581,0.278646032,0.181065089,0.327391304,0.304200733,0.252536392,0.322992847,0.18851384,0.316551434,0.306686047,0.276127321,0.321361059,0.351444474,0.393433653,0.352334462,0.374000202,0.382348693,0.374553377,0.342507031,0.364920874,0.297860839,0.267908987,0.38850658,0.363940294,0.411285741,0.362596193,0.358255298,0.205882353,0.22754491,0.410684705,0.556962025,0.4375,0.314741036
Unit Size,3-4 Bedrooms,0.12201087,0.167160162,0.081748392,0.064630309,0.081290101,0.020772105,0.18578385,0.177812373,0.306414662,0.153769917,0.082840237,0.272898551,0.168687153,0.330502867,0.232500201,0.061641472,0.226288246,0.611918605,0.318302387,0.375236295,0.445269017,0.29124487,0.454216203,0.391616888,0.424382493,0.469891068,0.491161109,0.473813112,0.359873349,0.595975964,0.459978269,0.452451709,0.152054535,0.314499797,0.311089207,0.591176471,0.633233533,0.033683048,0.227848101,0,0.167330677
Unit Size,5 or More Bedrooms,0.004619565,0.005652759,0.003596376,0.02726796,0.002864345,0.013250311,0.018733938,0.030526601,0.055746468,0.009072196,0,0.023043478,0.01334461,0.03098809,0.01800209,0.008421343,0.012567325,0.047965116,0.011405836,0.020192473,0.014577259,0.002735978,0.039209511,0.018932874,0.073089701,0.044095861,0.042989152,0.043330821,0.026179628,0.06792249,0.044669806,0.0505876,0,0.036958283,0.036816166,0.157843137,0.041167665,0,0,0,0
Vehicles Available,Vehicles Available,4182,7393,7890,1906,7228,3325,13627,11979,5494,8075,1280,6819,7028,8281,11297,5674,19121,710,5123,13276,5019,8269,17915,13041,11231,19525,8266,8741,16031,24865,13366,46656,5435,10923,23016,1655,2429,4604,100,55,125
Vehicles Available,Vehicles Homeowners,0.37446198,0.353036656,0.463624842,0.172612802,0.269922524,-601503.6848,0.365524327,0.382001837,0.508918821,0.337708978,0.19375,0.432468104,0.282299374,0.457553436,0.538195981,0.350017624,0.38125621,-938967.1352,0.453054851,0.603570353,0.704921299,0.537187084,0.681216857,0.653477494,0.734306829,0.720614597,0.754173724,0.705868894,0.562160813,0.830082445,0.762157714,0.678583676,-245323.4458,0.405749336,0.506560653,0.828398792,0.037052285,0.428757602,0.55,-12121212.11,0.68
Vehicles Available,Vehicles Renters,0.62553802,0.646963344,0.536375158,0.827387198,0.730077476,0.926015038,0.634475673,0.617998163,0.491081179,0.662291022,0.80625,0.567531896,0.717700626,0.542446564,0.461804019,0.649982376,0.61874379,1,0.546945149,0.396429647,0.295078701,0.462812916,0.318783143,0.346522506,0.265693171,0.279385403,0.245826276,0.294131106,0.437839187,0.169917555,0.237842286,0.321416324,0.925666973,0.594250664,0.493439347,0.171601208,0.962947715,0.571242398,0.45,1,0.32
Vehicles Available,Vehicles Per Capita,0.352792306,0.407574839,0.366346288,0.132012744,0.273321989,0.111103686,0.537024631,0.493389349,0.519036372,0.357190251,0.360461842,0.385755501,0.356552179,0.429623865,0.502044263,0.235846704,0.325353071,0.236037234,0.657300488,0.567180758,0.580164143,0.545412572,0.472479363,0.518178567,0.448486543,0.489606058,0.50615394,0.452198655,0.542706253,0.643137965,0.48550672,0.564282431,0.367204919,0.483918129,0.501208597,0.660151576,0.574775201,0.348207533,0.320512821,0.873015873,0.246548323
Vehicles Available,Households with no Vehicle,0.475305701,0.390826069,0.415862618,0.760967135,0.610349577,0.816760156,0.25126997,0.287631682,0.229968783,0.441037938,0.556928508,0.246452223,0.416597596,0.302565973,0.295498676,0.641945774,0.406654888,0.336633663,0.113120873,0.149531844,0.118858084,0.154654432,0.182389937,0.132666377,0.135151069,0.097029883,0.165876777,0.185658915,0.175181885,0.058417762,0.146195859,0.103971426,0.265028432,0.218220565,0.202873686,0.029180696,0.024924471,0.371831432,0.1,0.375,0.686192469
Vehicles Available,Percent of Homeowning Households,0.165289256,0.178691275,0.196374622,0.334916865,0.245337159,0.422222222,0.078323699,0.124632569,0.101481075,0.233560091,0.438943894,0.102808425,0.190695297,0.110860579,0.111311809,0.2535,0.172895623,0,0.021443888,0.083976157,0.067567568,0.04727747,0.06944892,0.065938206,0.074779062,0.069968873,0.108594477,0.068239564,0.083270106,0.035625746,0.086541988,0.082420976,0,0.161136024,0.117702448,0.008941878,0,0.184515531,0.159090909,0,0
Vehicles Available,Percent of Renting Households,0.5583971,0.460562603,0.520245559,0.788621647,0.668364244,0.82708297,0.310382298,0.346542016,0.308517773,0.50182704,0.575140092,0.312327507,0.474012474,0.394282632,0.413708158,0.715654649,0.484522207,0.336633663,0.174664107,0.223096596,0.223147377,0.243902439,0.304948418,0.223765432,0.247470489,0.152773906,0.279141104,0.32016632,0.244792415,0.140449438,0.280694502,0.140645901,0.27938343,0.249834437,0.259315386,0.090909091,0.025581395,0.469073406,0,0.375,0.803921569
