Neighborhood,Total Population,Group Quarter Population,Percent Female,Housholds,Family Households,Non-Family Households,"Single Person Households, % of Total","Households with Children, % of Total","Households with 60 years and older, % of Total",Average Household Size,Average Family Household Size,Asian,Black/African American,White,Native American Indian,Native Hawaiian/Pacific Islander,Other/Two or More Races,% Latino (of Any Race),0-4 Years,5-17 Years,18-34 Years,35-59 Years,60 and older,High School or Less,Some College/Associate Degree,College Degree,Graduate/Professional Degree,Foreign Born,English Only,Spanish Only,Asian/Pacific Islander,Other European Languages,Other Languages,% of All Households,% of Spanish-Speaking Households,% of Asian-Speaking Households,% of Other European-Speaking Households,% of Households Speaking Other Languages,Total Number of Units,Median Year Structure Built,Owner Occupied,Renter Occupied,Vacant Units,For Rent,For Sale Only,"Rented or Sold, Not Occupied","For Seasonal, Recreation or Occasional Use",Other Vacant,Median Year Moved in to Unit (Own),Median Year Moved in to Unit (Rent),Percent in Same House Last Year,Percent Abroad Last Year,"Overcrowding, Renter Occupied Housing",Single Family Housing,2-4 Units,5-9 Units,10-19 Units,20 Units or More,Other Type,No Bedroom,1 Bedroom,2 Bedrooms,3-4 Bedrooms,5 or More Bedrooms,Median Rent,Median Contract Rent,Median Rent as % of Household Income,Rent Burdened,Extremely Rent Burdened,Median Home Value,Vehicles Available,Vehicles Homeowners,Vehicles Renters,Vehicles Per Capita,Households with no Vehicle,Percent of Homeowning Households,Percent of Renting Households,Median Household Income (B19013_001),Median Family Income (B19113_001),Per Capita Income,Percent in Poverty,Household Income Less than 10000,Household Income 10000 to 14999,Household Income 15000 to 19999,Household Income 20000 to 24999,Household Income 25000 to 29999,Household Income 30000 to 34999,Household Income 35000 to 39999,Household Income 40000 to 44999,Household Income 45000 to 49999,Household Income 50000 to 59999,Household Income 60000 to 74999,Household Income 75000 to 99999,Household Income 100000 to 124999,Household Income 125000 to 149999,Household Income 150000 to 199999,Household Income Greater than 200000,Unemployment Rate,Percent Unemployment Female,Percent Unemployment Male,Employed Residents,Managerial Professional,Services,Sales and Office,Natural Resources,Production Transport Materials,Workers 16 Years and Older,Car,Drove Alone,Carpooled,Transit,Bike,Walk,Other Journey Type,Worked at Home,Population Density per Acre
Bayview Hunters Point,39253.0,213.0,0.49868799836955136,11880.0,0.6867845117845118,0.3132154882154882,0.2313973063973064,0.3526094276094276,0.47104377104377104,3.2861952861952863,4.086285083956367,0.39892492293582654,0.26897307212187604,0.12286958958550939,0.0014266425496140423,0.012712404147453699,0.19509336865972027,0.22260718925941966,0.06109087203525845,0.1585866048454895,0.23210964767024175,0.3324841413395154,0.2157287341094948,0.45904061700364,0.2698670126500162,0.18924568421811366,0.08184668612823008,0.3938552467327338,0.45974765974765974,0.1781305114638448,0.34727988061321396,0.012481345814679148,0.0023606023606023607,0.15596255596255595,0.03795957129290463,0.11344458011124678,0.0020621353954687286,0.0,12946.0,1967.6570289132603,0.5227272727272727,0.4772727272727273,0.08234203615016221,0.1303939962476548,0.06848030018761726,0.16416510318949343,0.1022514071294559,0.5347091932457786,2004.4314489928524,2012.0952092177076,0.934988911238331,0.0035071432255402548,0.12345679012345678,0.5741541788969566,0.17209949019002008,0.06156341727174417,0.028580256449868686,0.1565734589834698,0.007029198207940676,0.03630465008496833,0.12413100571605129,0.36451413564035223,0.44253051135485866,0.0325196972037695,1267.9340028694405,1114.7672552166935,32.69904513888889,0.508994708994709,0.25573192239858905,873552.1235521236,17974.0,0.660509625013909,0.339490374986091,0.4579013069064785,0.1648989898989899,0.06666666666666667,0.2724867724867725,69973.82198952879,73498.20143884892,32803.90543397957,0.16894381332514585,1191.0,650.0,309.0,449.0,565.0,234.0,396.0,323.0,453.0,735.0,955.0,838.0,741.0,1021.0,1285.0,1735.0,0.08972292191435768,0.5247858942065491,0.5649370277078085,18043.0,0.34212714071939254,0.28121709250124705,0.19980047663913983,0.0660089785512387,0.11084631158898188,17491.0,0.578926304956835,0.45480532845463384,0.12412097650220114,0.26333542964953405,0.012978103024412555,0.030644331370419074,0.030644331370419074,0.08347149962838031,39253.0
Bernal Heights,25325.0,150.0,0.4715103652517275,9088.0,0.6106954225352113,0.38930457746478875,0.22964348591549297,0.300506161971831,0.3438600352112676,2.770136443661972,3.482882882882883,0.1658045409674235,0.03174728529121421,0.5256860809476802,0.0065942744323790724,0.0011451135241855874,0.2690227048371175,0.30681145113524183,0.07285291214215202,0.10590325765054294,0.21765054294175715,0.4018163869693978,0.20177690029615006,0.23410128996637053,0.18164934999749033,0.311900818149877,0.2723485418862621,0.2729318854886476,0.6172487223168655,0.2401618398637138,0.09842419080068143,0.039352640545144806,0.004812606473594549,0.05298126064735945,0.038756388415672915,0.012989778534923339,0.0012350936967632027,0.0,10040.0,1939.0,0.5742737676056338,0.4257262323943662,0.09482071713147411,0.12184873949579832,0.03361344537815126,0.5189075630252101,0.0661764705882353,0.25945378151260506,2004.1058052434457,2012.478471474704,0.9035764235764235,0.004795204795204795,0.11320754716981132,0.548406374501992,0.3450199203187251,0.036354581673306775,0.018127490039840637,0.045717131474103584,0.006374501992031873,0.04123505976095618,0.1745019920318725,0.3493027888446215,0.41523904382470117,0.019721115537848607,2030.5486284289277,1914.9159663865546,21.74793307086614,0.28637890927888343,0.15171879038511243,1371336.9963369963,12735.0,0.6652532391048293,0.3347467608951708,0.502862783810464,0.15184859154929578,0.08813949032381682,0.23778754200051694,153638.25363825363,166066.06606606607,79420.4777887463,0.07293277810826888,385.0,264.0,123.0,164.0,163.0,102.0,126.0,153.0,139.0,383.0,357.0,896.0,525.0,694.0,962.0,3652.0,0.03557831167126165,0.45030852041486147,0.5852697912564001,14692.0,0.6152327797440784,0.1313640076231963,0.15702423087394501,0.06255104818949088,0.03382793356928941,14348.0,0.43713409534429887,0.35468357959297464,0.08245051575132423,0.21745190967382214,0.05729021466406468,0.04579035405631447,0.043908558684137164,0.1984248675773627,25325.0
Castro/Upper Market,22923.0,70.0,0.3667495528508485,11756.0,0.32562095951003744,0.6743790404899626,0.42267778155835317,0.11449472609731201,0.2608029942157196,1.9439435182034706,2.678944618599791,0.12864808271168696,0.0325873576756969,0.7112943332024604,0.004449679361340139,0.004580552283732496,0.1184399947650831,0.08484927801771147,0.026043711556079048,0.07141299131876282,0.2679404964446189,0.4598874492867426,0.17471535139379663,0.07071922961179657,0.12970207643695456,0.41779516501153574,0.3817835289397131,0.18645029010164463,0.8121024814118069,0.04976260861775508,0.06732061273851116,0.060109289617486336,0.010705007614440563,0.008689420406700708,0.001119770670966586,0.005419690047478276,0.002149959688255845,0.0,13001.0,1939.0,0.42386866281047975,0.5761313371895203,0.09576186447196369,0.3076305220883534,0.00642570281124498,0.46586345381526106,0.12289156626506025,0.09718875502008033,2007.1018697614443,2013.7421929215823,0.8311568394670887,0.017763707514400037,0.017865052413996753,0.21706022613645104,0.3965079609260826,0.1600646104145835,0.0971463733558957,0.12783632028305514,0.0013845088839320053,0.10445350357664795,0.3204368894700408,0.3149757710945312,0.23890469963848934,0.021229136220290747,2306.6528066528067,2237.596471885336,20.355212922173276,0.3127122397755795,0.15384615384615385,1414008.6206896552,11121.0,0.5826814135419477,0.4173185864580523,0.48514592330846745,0.3023987750935692,0.11559301625526791,0.4398346375313746,188552.18855218857,210569.0259579728,115739.32295074816,0.057909480871925066,468.0,323.0,249.0,168.0,156.0,228.0,134.0,179.0,132.0,375.0,477.0,699.0,667.0,707.0,1188.0,5606.0,0.04584253566525399,0.3466244851668358,0.6992180504984182,15953.0,0.769447752773773,0.0673227606092898,0.12511753275246035,0.012098037986585595,0.026013915877891307,15527.0,0.2332066722483416,0.19482192310169383,0.03838474914664777,0.37347845688156117,0.04179815804727249,0.05551619759129259,0.043215044760739355,0.2527854704707928,22923.0
Chinatown,13698.0,55.0,0.5414659074317418,6483.0,0.5040876137590622,0.49591238624093786,0.4318988122782662,0.14376060465833718,0.6054295850686411,2.104426962825852,2.9556303549571603,0.8292451452766827,0.012337567528106294,0.10067163089502117,0.007446342531756461,0.0029931376843334795,0.04730617608409987,0.0331435246021317,0.021974010804497006,0.07387939845232881,0.23061760840998685,0.29106438896189224,0.38246459337129507,0.6596730483433867,0.11478276073083311,0.14870180959874116,0.07684238132703908,0.7106876916338152,0.2310218705680376,0.02343808315294469,0.7317309845487796,0.013809061730238112,0.0,0.49190117190415766,0.012614764499514817,0.47674852578935584,0.0011196536538030902,0.0,7467.0,1939.0,0.06987505784359092,0.9301249421564091,0.13177983125753315,0.4034552845528455,0.0,0.09247967479674797,0.09349593495934959,0.4105691056910569,2006.1708860759493,2010.2842465753424,0.9230938577823439,0.00667791883760182,0.26683250414593696,0.02209722780233025,0.12280701754385964,0.12615508236239453,0.17557251908396945,0.5492165528324628,0.00415160037498326,0.4870764698004553,0.20342841837417971,0.1834739520557118,0.09347796973349404,0.0325431900361591,805.7352941176471,765.6387665198238,31.755521472392637,0.5058043117744611,0.2671641791044776,1228693.1818181819,1788.0,-372855.85402684566,0.7768456375838926,0.1305300043802015,0.7501156871818603,0.3090507726269316,0.7832504145936982,28608.179419525066,36197.47899159664,34046.459337129505,0.2769275829245076,888.0,1047.0,566.0,467.0,379.0,130.0,305.0,193.0,148.0,404.0,361.0,450.0,305.0,202.0,277.0,361.0,0.07558471192241871,0.5544780376497433,0.5211066742726754,6482.0,0.3171860536871336,0.38275223696390004,0.17201481024375193,0.047516198704103674,0.08053070040111077,6163.0,0.14424793120233653,0.11861106603926659,0.025636865163069934,0.32094759045919197,0.003731948726269674,0.39818270322894694,0.01833522635080318,0.11455460003245173,13698.0
Excelsior,40157.0,542.0,0.4987175336803048,11207.0,0.7471223342553761,0.2528776657446239,0.16293388061033282,0.3189078254662265,0.5070937806727938,3.534844293744981,4.121103547115729,0.5078815648579326,0.022760664392260377,0.20726149861792464,0.0024155190875812436,0.002017082949423513,0.2576636700948776,0.30968448838309637,0.04547152426725104,0.1290435042458351,0.2211569589361755,0.3618796224817591,0.24244839006897925,0.42229685665840616,0.2726946654493283,0.23043563323333768,0.07457284465892787,0.4759817715466793,0.3296026714669589,0.24291043802666248,0.40225926795544076,0.020583861626359865,0.004643760924578018,0.11001539224126686,0.029949649109076205,0.0787352273616655,0.0006261250684824294,0.0,11815.0,1942.8609785202864,0.683590613009726,0.31640938699027393,0.05146000846381718,0.13322368421052633,0.11677631578947369,0.08881578947368421,0.05263157894736842,0.6085526315789473,1999.4979402677652,2010.2642073778663,0.9291397876452723,0.004216973317603353,0.21122391426959955,0.8155734236140499,0.09174777824798984,0.04341938214134575,0.039441388066017775,0.006601777401608125,0.003216250528988574,0.03080829454083792,0.08176047397376217,0.35674989420228526,0.48421498095641136,0.046466356326703345,2000.6605019815058,1772.644927536232,30.262162162162163,0.4514946418499718,0.20022560631697686,986317.6373399422,19821.0,0.7169164017960749,0.28308359820392515,0.493587668401524,0.11278665120014277,0.08419266414306226,0.1745628877608573,101411.45410235581,105182.9268292683,35808.21276489778,0.09736748125095658,347.0,307.0,236.0,173.0,303.0,386.0,307.0,185.0,233.0,616.0,1141.0,1300.0,1231.0,904.0,1493.0,2045.0,0.0657362549446642,0.4925552246766523,0.5731810302680119,21020.0,0.3567078972407231,0.2676498572787821,0.20685061845861086,0.06960038058991437,0.09919124643196955,20509.0,0.5605831586132918,0.4324442927495246,0.12813886586376713,0.30835243064020673,0.006826271393046955,0.017894582866058804,0.014530206250914232,0.09181335023648154,40157.0
Financial District,22828.0,540.0,0.4533467671280883,12091.0,0.36274915226201304,0.6372508477379869,0.42329005045074847,0.07782648250765031,0.18691588785046728,1.8433545612439004,2.4856361149110806,0.4229893113719993,0.028955668477308568,0.4740669353425618,0.001489398983704223,0.007446994918521114,0.06505169090590503,0.06312423339758191,0.04617136849483091,0.02006308042754512,0.42509199229017,0.3664797616961626,0.1421937970912914,0.10308365454734868,0.10219814564017085,0.3767059068652985,0.418012292947182,0.3995969861573506,0.556076054009369,0.05102415725176816,0.2604482410214017,0.12942040966290072,0.003031138054560485,0.06112795076696978,0.008220813814641315,0.04349223844952696,0.009414898502801507,0.0,15848.0,2002.771551724138,0.33495988751964273,0.6650401124803573,0.2370646138313983,0.25126430662762844,0.0846420015970189,0.08810220920947565,0.42720255523023687,0.14878892733564014,2012.70087124879,2015.995270469997,0.7059108527131783,0.03382663847780127,0.10782241014799154,0.0668854114083796,0.0020822816759212518,0.007004038364462392,0.01779404341241797,0.9055401312468451,0.0006940938919737506,0.21195103483089348,0.33568904593639576,0.33196617869762746,0.1129480060575467,0.007445734477536598,2872.464898595944,2775.8741258741256,20.34051054384018,0.33105335157318744,0.12088048750155453,1384226.8842268842,7010.0,0.3880171184022825,0.6119828815977175,0.30707902575784124,0.3929368952113142,0.14839506172839506,0.5161049620693944,197792.07232267037,210415.57906137183,141356.0977746627,0.12303954053457035,411.0,155.0,301.0,95.0,330.0,167.0,204.0,277.0,71.0,424.0,249.0,497.0,771.0,719.0,1438.0,5982.0,0.0698782105390088,0.49391052695044013,0.5759676835885686,15427.0,0.7855059311596552,0.069423737602904,0.10345498152589616,0.011797497893303947,0.029817851818240745,14849.0,0.15118863223112666,0.13987473903966596,0.011313893191460705,0.21031719307697488,0.02727456394369991,0.3766583608323793,0.027341908546030035,0.2072193413697892,22828.0
Glen Park,8730.0,38.0,0.5309278350515464,3599.0,0.5693248124479022,0.4306751875520978,0.2889691580994721,0.23895526535148653,0.3684356765768269,2.41511530980828,3.1132259638848216,0.13688430698739978,0.06872852233676977,0.6010309278350515,0.001718213058419244,0.0,0.1916380297823597,0.13676975945017184,0.06254295532646048,0.13298969072164948,0.19369988545246278,0.3994272623138603,0.211340206185567,0.08140438092279012,0.14463259282274352,0.3616591579928538,0.4123038682616125,0.20515463917525772,0.737781036168133,0.10019550342130987,0.06537145650048876,0.06830400782013685,0.028347996089931573,0.028714565004887584,0.005376344086021506,0.009775171065493646,0.011974584555229716,0.0015884652981427176,3827.0,1954.3773946360154,0.6085023617671576,0.39149763823284245,0.05957669192579044,0.15789473684210525,0.16228070175438597,0.27631578947368424,0.0,0.40350877192982454,2003.54,2011.7409638554218,0.8904363974001857,0.008240482822655524,0.048970901348474094,0.6171936242487588,0.2545074470864907,0.021949307551607004,0.01620067938332898,0.09014894172981448,0.0,0.0329239613274105,0.15521296054350667,0.36503788868565457,0.437940945910635,0.008884243532793311,2247.1153846153848,2099.8098859315587,19.499086757990867,0.3030518097941803,0.1334279630943932,1488486.8421052631,4922.0,0.653799268590004,0.3462007314099959,0.5638029782359679,0.09947207557654904,0.042922374429223746,0.1873669268985096,174779.1519434629,200507.26666666666,89846.71248568156,0.05443664403268501,123.0,38.0,42.0,56.0,27.0,178.0,113.0,13.0,57.0,102.0,129.0,181.0,276.0,184.0,566.0,1514.0,0.04489252425337645,0.5052311204108807,0.5396614038424957,5007.0,0.762532454563611,0.08508088675853805,0.08548032754144198,0.018773716796484922,0.04813261433992411,4892.0,0.3992232215862633,0.34403107113654946,0.05519215044971382,0.24325429272281276,0.02350776778413737,0.01349141455437449,0.022485690923957483,0.2980376124284546,8730.0
Golden Gate Park,25.0,0.0,0.36,17.0,0.17647058823529413,0.8235294117647058,0.5882352941176471,0.0,0.0,1.4705882352941178,2.0,0.2,0.0,0.56,0.0,0.0,0.24,0.24,0.0,0.0,0.56,0.44,0.0,0.0,0.2,0.4,0.4,0.44,0.56,0.24,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1959.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.7777777777778,0.44,0.2,0.0,0.17647058823529413,0.0,0.29411764705882354,0.29411764705882354,0.23529411764705882,0.0,0.0,0.7058823529411765,0.0,0.0,0.29411764705882354,2694.4444444444443,2694.4444444444443,25.572222222222223,0.17647058823529413,0.0,0.0,26.0,-25641025.615384616,1.0,1.04,0.0,0.0,0.0,146875.0,175000.0,87892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.12,0.36,0.76,22.0,0.5909090909090909,0.18181818181818182,0.22727272727272727,0.0,0.0,22.0,0.3181818181818182,0.3181818181818182,0.0,0.22727272727272727,0.0,0.22727272727272727,0.0,0.22727272727272727,25.0
Haight Ashbury,19025.0,296.0,0.4424704336399474,8150.0,0.37533742331288344,0.6246625766871166,0.30503067484662577,0.16171779141104295,0.1947239263803681,2.298036809815951,3.009480222294868,0.1088042049934297,0.039684625492772664,0.7573193166885677,0.001314060446780552,0.0,0.09287779237844941,0.06544021024967149,0.05019710906701708,0.07080157687253613,0.4228646517739816,0.3349277266754271,0.12120893561103811,0.06228956228956229,0.13105413105413105,0.4799274799274799,0.32672882672882675,0.13818659658344284,0.8492529053680132,0.026784726065301606,0.05462091864969563,0.06264526840066409,0.0066961815163254015,0.007692307692307693,0.002324294410625346,0.0017155506364139458,0.0036524626452684008,0.0,9074.0,1939.0,0.2710429447852761,0.728957055214724,0.10182940268900155,0.17424242424242425,0.0,0.42207792207792205,0.30194805194805197,0.10173160173160173,2008.060975609756,2015.1515994436718,0.7797625414482833,0.010161514600492031,0.01178252819390675,0.1369847917125854,0.4053339210932334,0.21478950848578357,0.16145029755344942,0.07626184703548601,0.0051796341194621995,0.07405774741018294,0.3242230548820807,0.25391227683491296,0.31650870619351995,0.03129821467930351,2704.630788485607,2559.574468085106,20.757009694258016,0.23076923076923078,0.06918027268136677,1621363.6363636365,7790.0,0.38741976893453145,0.6125802310654686,0.40946123521682,0.31349693251533745,0.1294703485740154,0.3819222353139202,184422.4924012158,207725.57158651188,102127.61629434954,0.061222316865417375,155.0,67.0,50.0,112.0,204.0,40.0,110.0,97.0,44.0,189.0,263.0,566.0,781.0,491.0,1316.0,3665.0,0.027404015498414935,0.4448749559704121,0.5825290595280028,13806.0,0.7004925394755903,0.0720701144429958,0.18296392872664058,0.018325365782992903,0.026148051571780385,13537.0,0.22405259658713156,0.18645194651695354,0.03760065007017803,0.356430523749723,0.06818349708207136,0.06448991652507942,0.045578784073280636,0.24126468198271403,19025.0
Hayes Valley,20002.0,506.0,0.4441055894410559,9754.0,0.32109903629280295,0.6789009637071971,0.42864465860159934,0.11226163625179414,0.20268607750666393,1.998769735493131,2.7918263090676882,0.16943305669433056,0.10133986601339866,0.5856914308569143,0.0010998900109989002,0.0010998900109989002,0.14133586641335866,0.131986801319868,0.056694330566943306,0.03854614538546145,0.3676132386761324,0.4084091590840916,0.12873712628737127,0.13928313687755592,0.15275439018522974,0.4110536444551359,0.29690882848207845,0.20007999200079993,0.7767648929404283,0.075312698749205,0.06868772524909901,0.061479754080983676,0.01775492898028408,0.024750900996396014,0.006253974984100063,0.014362942548229807,0.0033919864320542717,0.000741997032011872,11191.0,1939.0,0.1933565716629075,0.8066434283370925,0.1284067554284693,0.313848295059151,0.0,0.3298538622129436,0.08072372999304106,0.2755741127348643,2011.4271457085829,2014.9095022624435,0.8041911576795298,0.0110912343470483,0.035332994407727504,0.07872397462246448,0.22812974711822,0.16557948351353766,0.1830935573228487,0.34322223215083547,0.0012510052720936468,0.20436064694844072,0.3268698060941828,0.31462782593155214,0.14761862210705032,0.006523098918774015,2313.041385948027,2240.3153153153153,23.380699999999997,0.3059227249618709,0.1367564819522115,1295570.6984667801,6961.0,0.319925298089355,0.680074701910645,0.348015198480152,0.43295058437564077,0.13944856839872746,0.5033045246568378,139424.20681551116,186972.47706422018,94201.97980201979,0.09199266503667482,370.0,368.0,199.0,241.0,76.0,221.0,252.0,223.0,148.0,319.0,444.0,896.0,629.0,851.0,1008.0,3509.0,0.03297451968933097,0.4519689330971522,0.5810055865921788,14194.0,0.7086092715231788,0.10426940960969423,0.13977737072002255,0.004579399746371706,0.0427645484007327,13747.0,0.2201934967629301,0.16810940568851385,0.052084091074416236,0.2864625009092893,0.08096311922601294,0.13413835745980943,0.0437913726631265,0.23445115297883173,20002.0
Inner Richmond,21767.0,177.0,0.5360407956999127,8950.0,0.4867039106145251,0.5132960893854749,0.3,0.2293854748603352,0.3293854748603352,2.412290502793296,3.1136363636363638,0.37221482059999084,0.017917030367069417,0.49340745164698857,0.002067349657738779,0.002986171727844903,0.11140717600036752,0.09156061928607526,0.05297009234161804,0.10203519088528507,0.3246198373684936,0.3230578398493132,0.19731703955529012,0.12047491560935863,0.16779187521825165,0.4263182400186241,0.2854149691537656,0.2875453668397115,0.6270980886775978,0.05006306393713011,0.2579800135830018,0.058115843601435915,0.006742990200834385,0.08188609682739885,0.002085960997380421,0.0672358591248666,0.007519161734743378,0.003735325506937033,9685.0,1939.0,0.3337430167597765,0.6662569832402234,0.07589055240061951,0.10204081632653061,0.0,0.1564625850340136,0.272108843537415,0.46938775510204084,2000.1591760299625,2012.61312849162,0.8583082271147161,0.010104287369640788,0.016937782995136676,0.21982447083118223,0.4601961796592669,0.16375838926174496,0.13185338151781104,0.024367578729994836,0.0,0.06484254001032524,0.24336602994321116,0.35157459989674755,0.30604026845637583,0.03417656169334022,2360.344827586207,2292.1225382932166,22.69931330472103,0.2733523394264632,0.14472580915646488,1638835.8778625955,9769.0,0.3818200429931416,0.6181799570068585,0.44879864014333626,0.23608938547486033,0.16069635085369938,0.2738554418916653,143506.4935064935,190754.039497307,82361.33137317958,0.06206609275201333,232.0,340.0,134.0,138.0,67.0,121.0,48.0,294.0,150.0,220.0,553.0,957.0,822.0,539.0,1071.0,3264.0,0.03668622322753941,0.517636247967767,0.5190499752597724,13628.0,0.6441884355738187,0.11689169357205753,0.17199882594658056,0.01651012621074259,0.050410918696800706,13465.0,0.4264389157073895,0.35937616041589304,0.06706275529149647,0.2618640920906053,0.04225770516152989,0.04656516895655403,0.028963980690679538,0.19391013739324173,21767.0
Inner Sunset,28070.0,961.0,0.5260420377627361,11973.0,0.4631253654054957,0.5368746345945044,0.36390211308778087,0.19017790027562015,0.34477574542721123,2.2641777332331077,3.0934174932371508,0.3364089775561097,0.023049519059494122,0.4997149982187389,0.0013893836836480229,0.0006768792304951906,0.13876024225151407,0.09600997506234414,0.05261845386533666,0.0779123619522622,0.3417883861774136,0.3163519771998575,0.21132882080513002,0.12885510939284772,0.12731745892276602,0.4204375713909147,0.32338986029347155,0.2823655147844674,0.643251983604708,0.06373857782123116,0.20573083142180273,0.08321738803444516,0.004061219117812959,0.04914827210168089,0.0007520776144098071,0.04403414432369421,0.004362050163576881,0.0,13034.0,1943.5466461063993,0.4141819092959158,0.5858180907040842,0.08140248580635262,0.09707822808671066,0.0,0.33364750235626767,0.25070688030160226,0.31856738925541944,2000.2988215488215,2015.0519801980197,0.8136710867685212,0.008035456904006918,0.035642999714856,0.39435323001381,0.3174773668866043,0.11308884456038054,0.09421512966088691,0.07549485959797453,0.0053705692803437165,0.0850851618843026,0.2574804357833359,0.3132576338806199,0.31855148074267303,0.02562528770906859,2572.873658133774,2511.3636363636365,23.232708333333335,0.3551468491588252,0.19147419446820643,1519473.293768546,14407.0,0.5631290344971195,0.43687096550288057,0.5132525828286427,0.214399064561931,0.08671103044968743,0.3046763615625891,142711.20293847568,172899.15966386555,80851.36088350552,0.0875582804067697,568.0,142.0,110.0,185.0,464.0,117.0,118.0,343.0,156.0,438.0,459.0,1167.0,948.0,1089.0,1617.0,4052.0,0.03715170278637771,0.5121545694301112,0.5249971333562665,16794.0,0.7319280695486483,0.10914612361557699,0.11402881981660117,0.010599023460759796,0.03429796355841372,16260.0,0.36697416974169744,0.30793357933579335,0.05904059040590406,0.27207872078720785,0.04206642066420664,0.09981549815498154,0.032103321033210334,0.18696186961869618,28070.0
